gene_id,SYMBOL,osd758_uG_vs_inflight_1G,osd758_uG_vs_inflight_1G_fdr,osd758_uG_vs_ground,osd758_1G_vs_ground
ENSMUSG00000031167,Rbm3|Rbm3-ps,1.51155911027986,5.37716644846686e-07,1.8735109370721,0.361951826792238
ENSMUSG00000045193,Cirbp,1.13313807941634,0.0001523524316438,1.37980334734347,0.246665267927128
ENSMUSG00000039345,Mettl22,0.577911149059318,0.0126923766216149,0.534745793554861,-0.0431653555044574
ENSMUSG00000111938,,1.62249067340864,0.019336959719216,2.21110021867772,0.588609545269074
ENSMUSG00000032122,Slc37a2,0.957102715191992,0.0206527732489671,0.748646049067663,-0.208456666124329
ENSMUSG00000024454,Hdac3,0.252138644068843,0.0206527732489671,0.271287553908415,0.0191489098395718
ENSMUSG00000027744,Stoml3,3.3974699937016,0.0206527732489671,3.20253642109469,-0.194933572606904
ENSMUSG00000018566,Slc2a4,2.26543955440198,0.0206527732489671,2.40460538658608,0.139165832184107
ENSMUSG00000047757,Fancb,-0.791332820493172,0.0206527732489671,-0.787302413692903,0.0040304068002693
ENSMUSG00000040010,Slc7a5,0.729960463599361,0.0206527732489671,0.637305728672622,-0.092654734926739
ENSMUSG00000040046,Tph1,-2.70834483539506,0.0206527732489671,-1.29679477058528,1.41155006480978
ENSMUSG00000101505,1700109G14Rik,2.56890238530201,0.0206527732489671,2.32941237567854,-0.239490009623468
ENSMUSG00000074006,Omp,3.36989267666575,0.0206527732489671,3.62899013242689,0.25909745576114
ENSMUSG00000095276,Gfy,2.72857976905265,0.0206527732489671,2.70015863652033,-0.0284211325323158
ENSMUSG00000066170,,1.85666998846308,0.0206527732489671,2.96767193377259,1.11100194530952
ENSMUSG00000042828,Trim72,2.44856342194814,0.0206527732489671,2.75839295179804,0.309829529849892
ENSMUSG00000074469,Gm15348,-0.951689644855138,0.0206527732489671,-1.23153583552199,-0.279846190666849
ENSMUSG00000060600,Eno3,1.80411884618461,0.0225953204569939,2.03744851233101,0.233329666146402
ENSMUSG00000097443,,1.13920432968585,0.0225953204569939,1.25692317800547,0.117718848319628
ENSMUSG00000038763,Alpk3,2.14107519587566,0.0225953204569939,2.93370308473609,0.792627888860437
ENSMUSG00000039376,Synpo2l,2.93572708704215,0.0235079373883162,3.39511102965416,0.459383942612017
ENSMUSG00000021662,Arhgef28,0.779510443493068,0.0235079373883162,0.798952722810911,0.019442279317843
ENSMUSG00000057054,Inca1,1.20574109192851,0.0235079373883162,1.25260178219265,0.0468606902641321
ENSMUSG00000112323,Gm32828,2.82018067778497,0.0238267682809073,3.045000793525,0.224820115740033
ENSMUSG00000029762,Akr1b8,1.24884483405751,0.0240153671324489,1.16839281623989,-0.0804520178176213
ENSMUSG00000048626,Klf17,5.80073052630903,0.0240153671324489,6.06359676506322,0.262866238754189
ENSMUSG00000022519,Srl,2.25953739890911,0.0240153671324489,2.16864107367267,-0.0908963252364382
ENSMUSG00000024521,Pmaip1,2.09531567662324,0.0240153671324489,2.31896116472935,0.223645488106113
ENSMUSG00000058046,4933430I17Rik,1.29592670039005,0.0240153671324489,1.61835671577956,0.322430015389506
ENSMUSG00000068874,Selenbp1,1.15769238456693,0.0240153671324489,1.7486807455682,0.590988361001267
ENSMUSG00000048489,Depp1,1.6193136834571,0.0243840193028352,0.90056527688611,-0.718748406570988
ENSMUSG00000023067,Cdkn1a,1.25597323812172,0.0243840193028352,1.25059847281688,-0.0053747653048442
ENSMUSG00000096140,Ankrd66,1.57228310757925,0.0243840193028352,2.16729147034787,0.595008362768612
ENSMUSG00000085307,,2.02022180014897,0.0243840193028352,2.34553120419336,0.325309404044385
ENSMUSG00000120241,,-0.805694765059543,0.0273369018265268,-0.869116008729971,-0.0634212436704286
ENSMUSG00000018479,Chct1,5.04436530562457,0.0273369018265268,2.52694848061182,-2.51741682501275
ENSMUSG00000085511,,1.74474687575043,0.0273369018265268,2.58313204898496,0.838385173234539
ENSMUSG00000005547,Cyp2a5,5.62611148973157,0.0277910203348086,2.61395026402041,-3.01216122571116
ENSMUSG00000020389,Cdkl3,0.697171072971668,0.0297321828503869,0.665567217774276,-0.031603855197392
ENSMUSG00000107640,,-2.99012906507952,0.0306116233157882,-2.87930062149341,0.11082844358611
ENSMUSG00000012126,Ubxn11,0.724529569288611,0.0306116233157882,0.978117252864854,0.253587683576243
ENSMUSG00000105377,,1.43337229437538,0.0396828795509178,1.7705985283853,0.337226234009922
ENSMUSG00000115930,A930027H12Rik,-1.19560239052037,0.0396828795509178,-1.32484079894709,-0.129238408426722
ENSMUSG00000024222,Fkbp5,1.00015963495681,0.0396828795509178,1.16081658327981,0.160656948323
ENSMUSG00000085779,,2.33952252094969,0.0411793539470435,2.17509190102847,-0.164430619921215
ENSMUSG00000027306,Nusap1,1.02717512325488,0.0466671879265517,1.43714442787724,0.409969304622363
ENSMUSG00000029657,Hsph1,-0.687739251608607,0.0488212347998431,-0.921403533438415,-0.233664281829808
ENSMUSG00000026466,Tor1aip1,0.300409837697523,0.0488212347998431,0.309952763626189,0.0095429259286666
ENSMUSG00000085873,Ttc39aos1,1.03244983593726,0.0488212347998431,0.913110334970952,-0.11933950096631
ENSMUSG00000072969,Armcx5,0.520135632467693,0.0488212347998431,0.575506152593329,0.055370520125636
ENSMUSG00000036864,Proser3,-0.670562141709514,0.0488212347998431,-0.672362420695848,-0.0018002789863339
ENSMUSG00000046213,Cym,1.78887886781676,0.0488212347998431,1.89311779153522,0.104238923718459
ENSMUSG00000068101,Cenpm,-0.886836356475345,0.0488212347998431,-0.919218021170857,-0.0323816646955125
